RequSpec,AccSpeciesName,ObservationID,ObsDataID,TraitName,F1,DataName,DataID,OrigValueStr,OrigUnitStr,StdValue,UnitName
5823,Astragalus canadensis,1312323,9185595,Leaf photosynthesis rate per leaf dry mass,40,Photosynthesis per leaf dry mass (Amass),45,273.48,nmol/g/s,0.27348,micro mol g-1 s-1
5823,Astragalus canadensis,1312323,9185581,Leaf nitrogen (N) content per leaf dry mass,14,Leaf nitrogen content per dry mass (Nmass),15,41.3,mg/g,41.3,mg/g
5823,Astragalus canadensis,1312323,50947096,Stomata conductance per leaf dry mass,106,stomata conductance per leaf dry mass,1278,,,7.7804,milli mol g-1 s-1
5823,Astragalus canadensis,1312323,9185583,Leaf respiration rate in the dark per leaf dry mass,41,Leaf respiration per dry mass at 25 C,71,20.8,nano mol g-1 s-1,0.0208,micro mol g-1 s-1
5823,Astragalus canadensis,1312323,9185582,Leaf respiration rate in the dark per leaf dry mass,41,Leaf respiration per dry mass,46,20.8,nano mol g-1 s-1,0.0208,micro mol g-1 s-1
5823,Astragalus canadensis,1312323,9185585,Leaf respiration rate in the dark per leaf dry mass,41,Leaf respiration per dry mass at leaf temperature,70,9.52985452408946,nano mol g-1 s-1,0.009529855,micro mol g-1 s-1
5823,Astragalus canadensis,1312323,9185596,Leaf photosynthesis rate per leaf area,53,Photosynthesis per leaf area at leaf temperature (A_area),68,25.8,micromol/m2/s,25.8,micro mol m-2 s-1
5823,Astragalus canadensis,1312323,9185597,Stomata conductance per leaf area,45,Stomata conductance to water vapour per leaf area,50,734,mmol/m2/s,734,milli mol m-2 s-1
5823,Astragalus canadensis,1312323,9185594,Leaf nitrogen (N) content per leaf area,50,Leaf nitrogen content per area (Narea),65,3.95,g/m2,3.95,g m-2
5823,Astragalus canadensis,1312323,50881219,Leaf respiration rate in the dark per leaf area,54,Leaf respiration per area at leaf temperature,69,,,1.962264151,micro mol m-2 s-1
5823,Astragalus canadensis,1651600,11178878,Seed dry mass,26,Seed dry mass,30,1.7091,mg,1.7091,mg
5823,Astragalus canadensis,2502302,20689506,Leaf nitrogen (N) content per leaf dry mass,14,Leaf nitrogen content per dry mass (Nmass),15,4.13,%,41.3,mg/g
5823,Astragalus canadensis,2502302,20689505,Leaf photosynthesis rate per leaf area,53,Photosynthesis per leaf area at leaf temperature (A_area),68,25.8,micro mol m-2 s-1,25.8,micro mol m-2 s-1
5823,Astragalus canadensis,2502302,20689508,Stomata conductance per leaf area,45,Stomata conductance to water vapour per leaf area,50,734,mmol m-2 s-1,734,milli mol m-2 s-1
5823,Astragalus canadensis,2502302,50950584,Stomata conductance per leaf dry mass,106,stomata conductance per leaf dry mass,1278,,,7.7804,milli mol g-1 s-1
5823,Astragalus canadensis,2502302,20689500,Plant growth form,42,Plant growth form,47,H,,,
5823,Astragalus canadensis,2502302,20689501,Leaf phenology type,37,Leaf phenology type,42,N,,,
5823,Astragalus canadensis,2502302,20689558,Leaf phosphorus (P) retranslocation prior to leaf senescence,3026,P.retention.class,4115,LoR,,,
