Trait	TraitID	Panicum virgatum	Zea mays
Belowground plant organ length per belowground plant organ dry mass (specific belowground plant orga	2574	2	0
Belowground plant organ nitrogen (N) content per belowground plant organ dry mass	2547	2	0
Belowground plant organ respiration rate per belowground plant organ dry mass	2559	2	0
Budbank height distribution	153	1	0
Crown (canopy) length: diameter along the longest axis	324	1	0
Crown (canopy) width	325	1	0
Dispersal syndrome	28	54	13
Dispersal unit dry mass	233	4	0
Dispersal unit length	237	6	1
Dispersal unit thickness 	235	6	1
Dispersal unit type	231	1	3
Dispersal unit width	236	6	1
Fine root (absorptive) carbon/nitrogen (C/N) ratio	2057	1	0
Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root lengt	2062	1	0
Fine root (absorptive) nitrogen (N) content per absorptive fine root dry mass	2035	1	0
Fine root (absorptive) nitrogen (N) content per absorptive fine root length	2113	1	0
Fine root (absorptive) persistence (lifespan, longevity)	2065	2	0
Fine root (absorptive) respiration rate per absorptive fine root dry mass	2047	1	0
Fine root (absorptive) respiration rate per absorptive fine root length	2253	1	0
Fine root carbon/nitrogen (C/N) ratio	167	10	9
Fine root diameter	896	7	0
Fine root length fraction in respective root diameter class	2008	10	0
Fine root length per fine root dry mass (specific fine root length, SRL)	614	16	0
Fine root microbial relations: ratio of fungal rRNA gene copy number to bacterial rRNA gene copy num	1968	10	0
Fine root tissue density (fine root dry mass per fine root volume)	1781	2	0
Flower color	207	1	1
Flower conspicuous	581	1	1
Flowering requirement (requirement for fertility)	597	1	1
Fruit/seed abundance	605	1	1
Fruit/seed color	585	1	1
Fruit/seed conspicuous	586	1	1
Leaf angle (inclination, orientation)	3	1	14
Leaf area (cotyledons)	3054	5	0
Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	3114	28	0
Leaf area (in case of compound leaves: leaf, petiole excluded)	3108	9	0
Leaf area (in case of compound leaves: leaf, petiole included)	3110	22	10
Leaf area (in case of compound leaves: leaflet, petiole included)	3111	4	5
Leaf area per dry mass (cotyledons, specific leaf area (SLA) of cotyledons)	3056	5	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	3115	30	69
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	79	15
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	46	64
Leaf area per plant	410	28	1
Leaf area per plant dry mass (leaf area ratio; LAR)	109	1	0
Leaf area total at given shoot height 	927	73	0
Leaf carbon (C) content per leaf area	570	42	27
Leaf carbon (C) content per leaf dry mass	13	43	30
Leaf carbon (C) isotope signature (delta 13C)	89	2	0
Leaf carbon/nitrogen (C/N) ratio	146	43	30
Leaf cellulose content per leaf dry mass	92	1	0
Leaf color	582	2	2
Leaf compoundness	17	1	2
