Trait	TraitID	Artemisia arctica	Betula glandulosa	Betula nana	Dryas drummondii	Dryas integrifolia	Dryas octopetala	Pedicularis lapponica	Rubus chamaemorus	Salix alaxensis	Salix arbusculoides	Salix arctica	Salix candida	Salix chamissonis	Salix fuscescens	Salix glauca	Salix herbacea	Salix ovalifolia	Salix phlebophylla	Salix planifolia	Salix polaris	Salix pulchra	Salix reticulata	Salix rotundifolia	Stellaria longipes	Salix barclayi	Salix commutata	Salix niphoclada	Salix arctophila	Artemisia arctica ssp arctica	Dryas octopetala ssp octopetala	Salix athabascensis	Artemisia globularia	Artemisia glomerata	Dryas drummondii var eglandulosa	Dryas drummondii var tomentosa	Salix alaxensis var longistylis	Salix ovalifolia var arctolitoralis	Salix ovalifolia var cyclophylla	Salix ovalifolia var glacialis	Salix ovalifolia var ovalifolia
Dispersal unit type	231	1	0	836	1	0	49	0	7	1	1	0	1	0	1	475	503	0	0	1	1	1	545	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower conspicuous	581	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit/seed conspicuous	586	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf color	582	1	0	2	2	0	2	0	2	2	2	0	2	0	2	2	0	0	0	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf compoundness	17	1	1	16	1	6	16	6	8	2	2	8	1	1	1	8	8	1	1	6	7	1	9	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf type	43	1	6	115	1	19	34	10	34	5	1	17	1	1	4	15	19	1	1	9	11	59	24	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaflet number per leaf	759	1	1	6	1	2	5	2	3	1	1	3	1	0	1	2	2	0	0	2	2	1	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant defence mechanisms: chemical	346	1	0	2	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant growth form	42	11	40	453	12	54	234	64	172	27	13	108	19	7	19	82	88	14	8	37	52	103	104	31	46	22	15	17	6	1	1	6	4	6	1	1	2	2	1	2	1
Plant growth form detailed consolidated	3401	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0
Plant growth form simple consolidated	3400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0
Plant human usage types	604	11	0	12	13	0	22	0	13	13	11	0	13	0	11	21	10	0	0	13	11	12	21	11	12	13	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant lifespan (longevity)	59	2	0	11	3	1	12	8	20	4	2	1	2	0	2	2	11	0	0	3	5	4	8	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant palatability	679	2	0	4	5	0	5	0	5	5	5	0	4	0	5	2	0	0	0	5	3	5	3	3	3	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant propagation type	609	9	0	9	9	0	11	0	10	9	9	0	9	0	9	9	1	0	0	9	9	9	10	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant reproductive phenology timing	335	1	0	24	4	0	20	2	13	1	4	0	4	0	4	6	14	0	0	4	2	4	14	2	4	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant resprouting capacity	819	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative phenology (leaf phenology)	1251	1	0	2	2	0	2	0	2	2	1	0	2	0	2	1	0	0	0	2	1	1	2	1	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative regeneration capacity	344	1	0	1	0	0	2	0	3	0	1	0	0	0	1	0	2	0	0	0	1	1	6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant woodiness	38	1	9	119	2	23	34	14	45	6	2	18	3	2	2	16	22	2	3	8	8	60	21	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Root rooting depth	6	1	2	6	1	2	2	2	4	3	1	1	1	0	1	2	0	0	0	1	1	3	4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed dry mass	26	13	12	24	7	6	24	0	11	0	0	8	0	0	0	12	32	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed germination rate (germination efficiency)	95	11	5	5	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Seed germination requirement	596	1	1	7	1	1	3	0	5	2	1	1	1	0	1	2	2	0	0	1	1	2	4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
