Trait	TraitID	Andropogon gerardi	Andropogon gerardii	Aristida purpurea	Panicum virgatum	Schizachyrium scoparium	Sorghastrum nutans	Sporobolus heterolepis	Tridens flavus	Tripsacum dactyloides
Fine root debris decomposition rate constant 	2031	1	0	0	0	1	1	0	0	0
Fine root nitrogen (N) content per fine root dry mass	475	1	1	0	0	1	1	0	0	0
Leaf area (in case of compound leaves: leaf, petiole excluded)	3108	5	2	12	9	22	2	5	1	0
Leaf area (in case of compound leaves: leaf, petiole included)	3110	35	152	0	22	43	32	25	0	0
Leaf area (in case of compound leaves: leaflet, petiole included)	3111	40	0	0	4	10	54	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	3115	8	10	17	30	30	20	6	2	1
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	76	352	0	79	321	287	77	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	50	51	13	46	68	83	6	2	1
Leaf carbon (C) content per leaf area	570	78	8	0	42	20	104	0	0	0
Leaf carbon (C) content per leaf dry mass	13	82	9	8	43	33	108	2	2	2
Leaf carbon/nitrogen (C/N) ratio	146	82	10	7	43	32	108	1	1	1
Leaf compoundness	17	3	4	2	1	7	5	1	3	1
Leaf dry mass (single leaf)	55	80	46	0	79	51	73	25	4	0
Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	47	10	410	6	115	280	233	92	15	0
Leaf fresh mass	163	10	46	0	31	14	18	15	4	0
Leaf lifespan (longevity)	12	2	0	0	0	8	2	0	0	0
Leaf nitrogen (N) content per leaf area	50	87	9	0	47	38	114	0	0	0
Leaf nitrogen (N) content per leaf dry mass	14	100	46	8	70	88	153	2	2	2
Leaf nitrogen/phosphorus (N/P) ratio	56	5	0	0	0	0	1	0	0	0
Leaf phenology type	37	2	48	3	36	14	37	1	1	0
Leaf phosphorus (P) content per leaf dry mass	15	5	0	6	0	6	1	0	0	0
Leaf phosphorus (P) retranslocation prior to leaf senescence	3026	2	2	0	2	3	3	1	0	0
Leaf photosynthesis drawdown of CO2 concentration from ambient airspace to intercellular airspace	3126	5	2	0	4	7	7	2	0	0
Leaf photosynthesis pathway	22	8	75	18	122	45	53	5	7	6
Leaf photosynthesis rate per leaf area	53	12	48	6	57	29	66	3	0	1
Leaf photosynthesis rate per leaf dry mass	40	9	5	4	26	23	26	0	0	0
Leaf photosynthesis: intercellular CO2 concentration	49	1	40	5	24	14	51	1	0	0
Leaf respiration rate in the dark per leaf area	54	11	7	0	18	12	12	0	0	0
Leaf respiration rate in the dark per leaf dry mass	41	30	7	0	31	31	31	0	0	0
Leaf texture (sclerophylly, physical strength, toughness)	2	20	148	0	29	236	148	1	1	1
Leaf type	43	4	33	14	85	23	11	2	3	1
Leaflet number per leaf	759	1	3	1	1	2	2	1	3	1
Mycorrhiza type	7	1	53	13	99	46	36	15	0	0
Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)	110	3	1	0	4	2	2	0	0	0
Plant biomass and allometry: Leaves per plant (emergent, mature, senescent)	1032	60	441	0	0	682	441	0	0	0
Plant functional type (PFT)	197	20	46	0	42	27	60	7	0	2
Plant growth form	42	127	434	68	249	426	353	37	31	42
Plant growth rate relative (plant relative growth rate, RGR)	77	3	1	0	4	2	2	0	0	0
Plant height generative	3107	60	24	0	7	49	13	1	4	0
Plant height vegetative	3106	5	341	10	128	318	239	75	6	1
Plant lifespan (longevity)	59	3	19	6	18	13	13	4	5	2
Plant nitrogen(N) fixation capacity	8	8	25	5	20	41	26	6	5	0
Plant number of branches per tree	511	60	0	0	0	40	0	0	0	0
Plant woodiness	38	9	30	15	81	36	19	3	4	2
