Trait	TraitID	Carex bicknellii	Elymus canadensis	Elymus repens	Koeleria macrantha	Poa pratensis	Elymus
Crown (canopy) length: diameter along the longest axis	324	4	20	20	20	20	0
Crown (canopy) width	325	4	20	20	20	20	0
Dispersal unit type	231	1	1	90	21	93	0
Flower color	207	1	1	1	1	1	0
Flower conspicuous	581	1	1	1	1	1	0
Flowering requirement (requirement for fertility)	597	1	1	1	1	1	0
Fruit/seed abundance	605	1	1	1	1	1	0
Fruit/seed color	585	1	1	1	1	1	0
Fruit/seed conspicuous	586	1	1	1	1	1	0
Leaf area (in case of compound leaves: leaf, petiole included)	3110	11	34	37	97	536	3
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	10	35	53	98	584	12
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	10	35	70	55	500	15
Leaf color	582	2	2	2	2	2	0
Leaf compoundness	17	2	3	15	10	3	2
Leaf dry mass (single leaf)	55	10	33	76	74	481	3
Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	47	30	100	864	121	1323	15
Leaf fresh mass	163	11	32	40	71	435	3
Leaf porosity	583	2	2	8	2	2	0
Leaf shape	154	15	44	45	47	103	0
Leaf texture (sclerophylly, physical strength, toughness)	2	1	21	8	5	13	0
Leaf type	43	2	27	41	22	77	3
Leaf water content per leaf dry mass (not saturated)	3120	20	64	792	22	640	12
Leaflet number per leaf	759	1	2	5	2	1	1
Mycorrhiza type	7	14	33	77	37	138	1
Plant biomass and allometry: Stem dry mass per plant	128	5	9	10	0	6	0
Plant defence mechanisms: chemical	346	1	1	2	2	2	0
Plant growth form	42	39	165	984	208	1210	46
Plant growth form detailed consolidated	3401	1	1	2	1	1	0
Plant growth form simple consolidated	3400	1	1	2	1	1	0
Plant growth rate	587	1	1	1	1	1	0
Plant height generative	3107	6	20	39	140	151	3
Plant height vegetative	3106	9	46	98	176	829	3
Plant human usage types	604	13	13	13	13	13	0
Plant lifespan (longevity)	59	2	22	50	13	38	0
Plant moisture use type	599	1	1	1	1	1	0
Plant nitrogen(N) fixation capacity	8	1	5	28	10	35	1
Plant palatability	679	5	5	5	5	5	0
Plant propagation type	609	9	9	12	15	10	0
Plant reproductive phenology timing	335	4	5	59	67	62	0
Plant resprouting capacity	819	1	1	1	1	1	0
Plant vegetative phenology (leaf phenology)	1251	2	2	2	2	2	0
Plant vegetative regeneration capacity	344	1	1	8	9	8	0
Plant vegetative reproduction: spread rate	613	1	1	1	1	1	0
Plant woodiness	38	3	21	61	36	89	3
Root rooting depth	6	1	3	7	25	38	0
Root type, root architecture	65	1	1	18	11	8	0
Seed dry mass	26	10	25	56	52	94	0
Seed germination rate (germination efficiency)	95	2	4	7	7	5	0
Seed germination requirement	596	1	1	5	14	9	0
Seed spread rate	610	1	1	1	1	1	0
Seedling vigor	611	1	1	1	1	1	0
Shoot carbon/nitrogen (C/N) ratio	409	1	1	8	1	2	0
Species genotype: chromosome cDNA content	224	12	39	304	71	414	16
Species genotype: chromosome number	223	10	39	305	96	418	16
Species genotype: chromosome ploidy	222	10	39	309	78	416	16
Species habitat characterisation / Plant requirement: precipitation	602	2	2	2	2	2	0
Species habitat characterisation / Plant requirement: soil pH	600	2	2	2	2	2	0
Species habitat characterisation / Plant requirement: soil texture	593	3	3	3	3	3	0
Species occurrence range: native vs invasive	218	1	1	12	7	10	0
Species tolerance to CaCO3	595	1	1	1	1	1	0
Species tolerance to drought	30	1	5	6	15	4	0
Species tolerance to fire	318	2	2	2	2	2	0
Species tolerance to frost	31	3	4	8	9	4	0
Species tolerance to hedges	598	1	1	1	1	1	0
Species tolerance to planting density	601	2	0	2	0	0	0
Species tolerance to salt	1254	1	1	7	1	2	0
