Trait	TraitID	Anemone cylindrica	Coreopsis lanceolata	Echinacea angustifolia	Echinacea pallida	Echinacea purpurea	Helianthus grosseserratus	Helianthus maximiliani	Heliopsis helianthoides	Hypericum perforatum	Liatris pycnostachya	Monarda fistulosa	Parthenium integrifolium	Pycnanthemum virginianum	Ratibida pinnata	Silphium integrifolium	Silphium laciniatum	Silphium perfoliatum	Silphium terebinthinaceum	Silphium trifoliatum	Solidago canadensis	Solidago rigida	Solidago rugosa	Solidago speciosa	Veronicastrum virginicum	Penstemon digitalis	Coreopsis tripteris	Rudbeckia subtomentosa	Symphyotrichum novae-angliae	Aster	Echinacea tennesseensis	Helenium linifolium	Silphium perfoliatum var perfoliatum	Symphyotrichum adnatum	Heliopsis helianthoides var helianthoides	Silphium integrifolium var integrifolium	Silphium integrifolium var laeve	Silphium perfoliatum var connatum	Silphium terebinthinaceum var luciae-brauniae	Silphium terebinthinaceum var terebinthinaceum
Belowground plant organ length per belowground plant organ dry mass (specific belowground plant orga	2574	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ nitrogen (N) content per belowground plant organ dry mass	2547	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ respiration rate per belowground plant organ dry mass	2559	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coarse root carbon/nitrogen (C/N) ) ratio	166	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal syndrome	28	12	52	0	52	0	0	52	52	497	52	52	52	0	53	52	52	2	52	0	292	52	0	52	0	52	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) carbon/nitrogen (C/N) ratio	2057	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root lengt	2062	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) nitrogen (N) content per absorptive fine root dry mass	2035	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) nitrogen (N) content per absorptive fine root length	2113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) persistence (lifespan, longevity)	2065	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) respiration rate per absorptive fine root dry mass	2047	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) respiration rate per absorptive fine root length	2253	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root carbon/nitrogen (C/N) ratio	167	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root diameter	896	1	0	1	1	0	0	0	2	5	1	2	0	1	2	1	1	0	0	0	5	3	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Fine root length per fine root dry mass (specific fine root length, SRL)	614	1	0	0	0	0	0	0	1	5	1	1	0	1	1	0	0	0	0	0	11	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Fine root tissue density (fine root dry mass per fine root volume)	1781	1	0	1	1	0	0	0	2	0	1	2	0	1	2	1	1	0	0	0	0	3	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Leaf angle (inclination, orientation)	3	1	0	1	0	0	0	0	1	2	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, petiole excluded)	3108	1	0	0	0	0	0	0	0	16	2	1	0	5	1	0	1	0	1	0	16	0	5	5	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	3115	2	4	7	5	4	0	1	14	32	5	5	0	5	8	4	8	0	1	0	24	1	5	5	5	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	2	52	0	52	0	19	52	69	169	5	150	52	39	63	53	52	0	53	0	839	84	196	5	32	82	0	0	124	13	0	0	0	0	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	13	1	3	0	7	12	1	15	72	3	43	0	0	13	8	2	0	8	0	632	38	120	0	8	0	0	0	39	3	0	0	0	0	0	0	0	0	0	0
Leaf carbon (C) isotope fractionation ('big' Delta 13C)	3478	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf carbon (C) isotope signature (delta 13C)	89	1	0	1	0	0	0	1	1	1	0	2	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf carbon/nitrogen (C/N) ratio	146	1	52	1	52	0	0	53	57	12	0	55	52	0	52	53	53	0	52	0	9	53	5	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf compoundness	17	1	2	1	1	6	2	1	1	7	1	4	1	0	3	6	1	1	8	3	11	2	1	3	1	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0
Leaf lifespan (longevity)	12	1	0	0	0	3	0	0	0	2	0	0	0	0	0	3	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) content per leaf area	50	14	4	0	4	10	0	0	4	10	0	0	0	0	0	7	0	0	7	0	11	14	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) content per leaf dry mass	14	16	4	2	4	10	0	2	6	27	0	21	0	0	1	9	3	0	7	0	18	31	5	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0
Leaf phenology type	37	4	0	1	0	1	0	0	4	9	0	1	0	0	0	1	0	0	1	0	4	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Leaf phosphorus (P) retranslocation prior to leaf senescence	3026	3	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model)	186	2	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis drawdown of CO2 concentration from ambient airspace to intercellular airspace	3126	5	0	2	0	3	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis electron transport capacity (Jmax) per leaf area (Farquhar model)	269	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis pathway	22	16	3	5	1	7	2	0	8	19	0	8	0	0	7	10	5	2	11	0	19	21	0	4	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis rate per leaf area	53	17	4	7	5	9	0	0	7	3	4	5	0	0	6	10	6	0	6	0	2	14	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis rate per leaf dry mass	40	13	4	5	5	9	0	0	6	0	3	3	0	0	6	9	6	0	6	0	0	12	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis: intercellular CO2 concentration	49	1	0	5	1	1	0	0	7	0	4	2	0	0	6	6	6	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf respiration rate in the dark per leaf area	54	12	4	0	4	8	0	0	4	0	0	1	0	0	0	9	0	0	9	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf respiration rate in the dark per leaf dry mass	41	31	4	0	4	14	0	0	4	0	0	9	0	0	0	14	0	0	14	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf type	43	8	2	2	5	3	5	3	7	12	2	6	2	1	5	5	3	1	4	1	12	14	1	3	2	2	1	1	5	2	0	0	0	0	0	0	0	0	0	0
Leaflet number per leaf	759	1	1	1	1	2	2	1	1	2	1	3	1	0	2	2	1	1	4	2	4	2	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
