TraitS	TraitID	.Astragalus canadensis.	.Baptisia alba.	.Baptisia australis.	.Dalea purpurea.	.Desmanthus illinoensis.	.Desmodium canadense.	.Lespedeza capitata.	.Baptisia lanceolata.	.Baptisia alba var. macrophylla.	.Dalea purpurea var. purpurea.	.Baptisia alba var. alba.	.Baptisia bracteata var. laevicaulis.	.Dalea purpurea var. arenicola.
Belowground plant organ length per belowground plant organ dry mass (specific belowground plant orga	2574	2	2	0	0	0	0	2	0	0	0	0	0	0
Belowground plant organ nitrogen (N) content per belowground plant organ dry mass	2547	2	2	0	0	0	0	2	0	0	0	0	0	0
Belowground plant organ respiration rate per belowground plant organ dry mass	2559	2	2	0	0	0	0	2	0	0	0	0	0	0
Crown (canopy) length: diameter along the longest axis	324	2	5	0	24	0	1	7	0	0	0	0	0	0
Crown (canopy) width	325	2	5	0	24	0	1	7	0	0	0	0	0	0
Dispersal unit dry mass	233	3	1	1	1	0	0	1	0	0	0	0	0	0
Dispersal unit length	237	6	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit thickness 	235	6	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit type	231	1	0	0	0	1	0	1	0	0	1	0	0	0
Dispersal unit width	236	6	0	0	0	0	0	0	0	0	0	0	0	0
Fine root (absorptive) carbon/nitrogen (C/N) ratio	2057	1	0	0	0	0	1	1	0	0	0	0	0	0
Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root lengt	2062	1	0	0	0	0	1	1	0	0	0	0	0	0
Fine root (absorptive) nitrogen (N) content per absorptive fine root dry mass	2035	1	0	0	0	0	1	1	0	0	0	0	0	0
Fine root (absorptive) nitrogen (N) content per absorptive fine root length	2113	1	0	0	0	0	1	1	0	0	0	0	0	0
Fine root (absorptive) persistence (lifespan, longevity)	2065	2	0	0	0	0	2	2	0	0	0	0	0	0
Fine root (absorptive) respiration rate per absorptive fine root dry mass	2047	1	0	0	0	0	1	1	0	0	0	0	0	0
Fine root (absorptive) respiration rate per absorptive fine root length	2253	1	0	0	0	0	1	1	0	0	0	0	0	0
Fine root diameter	896	2	2	1	1	1	1	2	0	0	0	0	0	0
Fine root length per fine root dry mass (specific fine root length, SRL)	614	12	1	0	1	0	1	1	0	0	0	0	0	0
Fine root tissue density (fine root dry mass per fine root volume)	1781	2	2	1	1	1	1	2	0	0	0	0	0	0
Flower color	207	1	0	0	0	1	0	1	0	0	1	0	0	0
Flower conspicuous	581	1	0	0	0	1	0	1	0	0	1	0	0	0
Flowering requirement (requirement for fertility)	597	1	0	0	0	1	0	1	0	0	1	0	0	0
Fruit/seed abundance	605	1	0	0	0	1	0	1	0	0	1	0	0	0
Fruit/seed color	585	1	0	0	0	1	0	1	0	0	1	0	0	0
Fruit/seed conspicuous	586	1	0	0	0	1	0	1	0	0	1	0	0	0
Leaf angle (inclination, orientation)	3	1	1	1	0	2	0	2	0	0	0	0	0	0
Leaf area (cotyledons)	3054	10	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, petiole excluded)	3108	11	5	0	1	0	0	1	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, petiole included)	3110	17	15	0	14	0	35	55	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	3112	1	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area per dry mass (cotyledons, specific leaf area (SLA) of cotyledons)	3056	10	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	3115	19	13	7	2	9	0	7	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	18	15	52	65	0	36	124	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	12	10	1	25	2	6	45	0	0	0	0	0	0
Leaf carbon (C) content per leaf dry mass	13	2	0	2	4	2	0	30	0	0	0	0	0	0
Leaf carbon (C) isotope signature (delta 13C)	89	1	0	1	2	1	0	1	0	0	0	0	0	0
Leaf carbon/nitrogen (C/N) ratio	146	1	0	53	54	1	0	30	0	0	0	0	0	0
Leaf color	582	2	0	0	0	2	0	2	0	0	2	0	0	0
Leaf compoundness	17	3	2	1	1	1	1	3	0	0	0	0	0	0
Leaf density (leaf tissue density, leaf dry mass per leaf volume)	48	7	6	8	9	10	0	5	0	0	0	0	0	0
Leaf dry mass (cotyledons)	3050	20	0	0	0	0	0	0	0	0	0	0	0	0
Leaf dry mass (single leaf)	55	50	20	0	24	0	31	60	0	0	0	0	0	0
Leaf dry mass per fresh mass (cotyledons, cotyledon LDMC)	3055	10	0	0	0	0	0	0	0	0	0	0	0	0
Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	47	40	40	52	106	10	7	107	0	0	0	0	0	0
Leaf fresh mass	163	28	20	0	18	0	1	15	0	0	0	0	0	0
Leaf fresh mass (cotyledons)	3053	10	0	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) content per leaf area	50	5	0	0	2	0	5	38	0	0	0	0	0	0
